date,max_temp,min_temp,humidity,precipitation,condition,uv_index
2024-02-05,30.0,16.3,45,0.0,Sunny,7.0
2024-02-06,29.2,17.1,48,0.0,Sunny,7.0
2024-02-07,27.2,15.1,43,0.0,Sunny,7.0
2024-02-08,24.4,14.2,33,0.0,Partly cloudy,6.0
2024-02-09,26.5,12.3,22,0.0,Sunny,7.0
2024-02-10,28.9,13.6,20,0.0,Partly cloudy,7.0
2024-02-11,29.3,13.7,24,0.0,Sunny,7.0
2024-02-12,29.9,14.5,33,0.0,Sunny,7.0
2024-02-13,30.8,17.1,32,0.0,Sunny,8.0
2024-02-14,28.7,16.9,39,0.0,Partly cloudy,7.0
2024-02-15,29.3,15.5,37,0.0,Sunny,7.0
2024-02-16,30.6,16.0,27,0.0,Sunny,8.0
2024-02-17,31.6,17.0,24,0.0,Sunny,8.0
2024-02-18,32.8,18.7,26,0.0,Sunny,8.0
2024-02-19,32.7,19.4,23,0.0,Sunny,8.0
2024-02-20,31.9,18.4,27,0.0,Sunny,8.0
2024-02-21,30.7,18.4,35,0.0,Sunny,8.0
2024-02-22,28.2,16.2,29,0.0,Sunny,7.0
2024-02-23,28.1,15.7,25,0.0,Sunny,7.0
2024-02-24,29.1,15.0,19,0.0,Sunny,7.0
2024-02-25,27.7,14.0,25,0.0,Sunny,7.0
2024-02-26,29.8,15.9,30,0.0,Partly cloudy,7.0
2024-02-27,31.3,18.3,39,0.9,Patchy light drizzle,7.0
2024-02-28,32.5,18.5,49,0.0,Sunny,8.0
2024-02-29,32.3,17.9,26,0.0,Sunny,8.0
2024-03-01,34.8,20.5,24,0.01,Sunny,8.0
2024-03-02,33.0,21.8,30,0.24,Patchy rain possible,7.0
2024-03-03,29.1,18.7,44,0.14,Patchy rain possible,6.0
2024-03-04,28.1,14.6,15,0.0,Sunny,7.0
2024-03-05,29.4,13.9,14,0.0,Sunny,7.0
2024-03-06,30.5,15.6,19,0.0,Sunny,8.0
2024-03-07,30.5,17.4,20,0.0,Sunny,8.0
2024-03-08,30.3,17.3,18,0.0,Sunny,8.0
2024-03-09,31.5,17.5,19,0.0,Sunny,8.0
2024-03-10,34.3,18.1,19,0.0,Sunny,8.0
2024-03-11,34.6,20.4,21,0.0,Sunny,8.0
2024-03-12,34.3,21.5,23,0.0,Sunny,8.0
2024-03-13,33.1,20.5,22,0.0,Sunny,8.0
2024-03-14,33.0,20.3,21,0.0,Sunny,8.0
2024-03-15,34.3,20.0,17,0.0,Sunny,8.0
2024-03-16,34.3,20.4,17,0.0,Sunny,8.0
2024-03-17,33.5,20.1,20,0.0,Sunny,8.0
2024-03-18,34.4,21.5,19,0.0,Sunny,8.0
2024-03-19,34.4,21.6,15,1.4,Sunny,8.0
2024-03-20,33.3,20.8,13,0.0,Sunny,8.0
2024-03-21,34.0,20.8,11,0.0,Cloudy,7.0
