date,max_temp,min_temp,humidity,precipitation,condition,uv_index
2024-02-05,21.1,13.2,76,0.86,Patchy rain possible,5.0
2024-02-06,22.1,11.3,39,0.0,Sunny,6.0
2024-02-07,22.4,11.1,28,0.0,Overcast,5.0
2024-02-08,22.3,9.2,29,0.0,Sunny,6.0
2024-02-09,23.8,9.2,22,0.0,Sunny,6.0
2024-02-10,24.3,11.5,23,0.0,Sunny,6.0
2024-02-11,24.3,11.6,25,0.0,Sunny,6.0
2024-02-12,24.1,11.9,26,0.0,Overcast,5.0
2024-02-13,25.4,15.0,26,0.0,Partly cloudy,7.0
2024-02-14,26.3,13.8,31,0.0,Sunny,7.0
2024-02-15,26.9,13.6,27,0.0,Sunny,7.0
2024-02-16,27.8,13.7,24,0.0,Sunny,7.0
2024-02-17,28.2,13.2,17,0.0,Partly cloudy,7.0
2024-02-18,27.9,15.0,18,0.0,Overcast,6.0
2024-02-19,29.5,15.9,29,0.3,Patchy rain possible,6.0
2024-02-20,28.1,16.9,44,0.02,Sunny,7.0
2024-02-21,28.1,14.8,24,0.0,Sunny,7.0
2024-02-22,26.0,15.2,20,0.0,Sunny,7.0
2024-02-23,26.4,13.4,16,0.0,Sunny,7.0
2024-02-24,25.6,12.9,18,0.0,Sunny,7.0
2024-02-25,25.3,13.2,16,0.0,Sunny,7.0
2024-02-26,26.6,13.6,16,0.0,Partly cloudy,7.0
2024-02-27,27.1,16.1,21,0.0,Partly cloudy,7.0
2024-02-28,28.0,13.2,27,0.0,Sunny,7.0
2024-02-29,30.0,14.3,25,0.0,Sunny,8.0
2024-03-01,31.1,17.2,21,0.18,Sunny,8.0
2024-03-02,30.6,17.3,55,4.22,Patchy light rain,7.0
2024-03-03,26.9,15.5,48,0.35,Patchy rain possible,6.0
2024-03-04,25.4,13.6,56,0.01,Sunny,7.0
2024-03-05,25.6,12.0,20,0.0,Partly cloudy,7.0
2024-03-06,24.7,12.0,22,0.0,Cloudy,5.0
2024-03-07,27.4,13.4,20,0.0,Sunny,7.0
2024-03-08,29.2,14.6,20,0.0,Sunny,7.0
2024-03-09,30.0,14.3,20,0.0,Sunny,8.0
2024-03-10,30.2,15.7,22,0.0,Partly cloudy,8.0
2024-03-11,32.7,20.0,17,0.0,Sunny,8.0
2024-03-12,32.9,18.3,19,0.0,Sunny,8.0
2024-03-13,31.5,17.8,27,0.12,Patchy rain possible,7.0
2024-03-14,32.0,19.6,23,0.0,Sunny,8.0
2024-03-15,32.3,18.1,19,0.0,Sunny,8.0
2024-03-16,31.9,16.8,13,0.0,Overcast,7.0
2024-03-17,31.4,16.9,15,0.0,Overcast,7.0
2024-03-18,32.5,17.5,13,0.0,Partly cloudy,8.0
2024-03-19,34.4,18.6,13,0.0,Sunny,8.0
2024-03-20,35.3,19.7,11,0.0,Sunny,9.0
2024-03-21,32.2,19.8,15,0.0,Cloudy,7.0
2024-03-22,35.8,20.8,17,0.0,Partly cloudy,9.0
2024-03-23,36.6,22.3,16,0.0,Overcast,8.0
2024-03-24,36.2,24.1,15,0.0,Overcast,8.0
2024-03-25,37.9,22.9,19,0.0,Sunny,9.0
2024-03-26,38.1,23.5,17,0.0,Overcast,8.0
2024-03-27,39.9,25.6,16,0.0,Partly cloudy,9.0
2024-03-28,39.3,27.4,19,0.0,Sunny,9.0
2024-03-29,40.5,28.2,15,0.0,Sunny,10.0
2024-03-30,39.6,26.5,16,0.0,Partly cloudy,9.0
2024-03-31,36.9,24.1,15,0.0,Sunny,9.0
2024-04-01,36.0,23.8,18,0.0,Overcast,8.0
2024-04-02,36.5,21.9,12,0.0,Partly cloudy,9.0
2024-04-03,37.4,24.3,10,0.0,Overcast,8.0
2024-04-04,37.6,25.2,12,0.0,Cloudy,8.0
2024-04-05,38.5,26.0,12,0.0,Partly cloudy,9.0
2024-04-06,37.8,23.7,13,0.11,Sunny,9.0
2024-04-07,37.9,24.6,8,0.0,Sunny,9.0
2024-04-08,37.5,24.8,10,0.0,Sunny,9.0
2024-04-09,37.8,25.7,9,0.0,Overcast,8.0
2024-04-10,38.8,26.1,8,0.0,Sunny,9.0
2024-04-11,40.0,27.5,8,0.0,Partly cloudy,10.0
2024-04-12,39.2,28.1,15,0.0,Sunny,9.0
2024-04-13,39.5,28.4,20,1.4,Patchy rain possible,8.0
2024-04-14,37.1,28.6,27,0.53,Patchy rain possible,8.0
2024-04-15,36.1,27.9,28,0.01,Patchy rain possible,8.0
2024-04-16,36.7,26.8,27,0.0,Partly cloudy,9.0
2024-04-17,37.0,26.5,18,0.0,Sunny,9.0
2024-04-18,39.2,27.9,19,0.0,Partly cloudy,9.0
2024-04-19,38.8,28.2,25,0.01,Partly cloudy,9.0
2024-04-20,37.9,26.6,22,0.0,Sunny,9.0
2024-04-21,37.8,26.7,20,0.0,Sunny,9.0
2024-04-22,38.5,26.4,20,0.84,Sunny,9.0
2024-04-23,39.4,27.6,15,0.14,Sunny,9.0
2024-04-24,39.8,27.7,13,0.0,Sunny,9.0
2024-04-25,40.5,28.7,12,0.0,Cloudy,9.0
2024-04-26,41.2,28.6,13,0.05,Patchy rain possible,9.0
2024-04-27,39.3,29.3,21,0.0,Sunny,9.0
2024-04-28,38.6,28.5,17,0.0,Cloudy,8.0
2024-04-29,40.3,29.3,15,0.0,Sunny,10.0
2024-04-30,37.8,26.4,12,0.0,Partly cloudy,9.0
2024-05-01,35.2,25.2,12,0.0,Sunny,9.0
2024-05-02,38.4,24.3,10,0.0,Sunny,9.0
2024-05-03,39.9,26.1,10,0.0,Cloudy,8.0
2024-05-04,42.3,30.7,9,0.0,Partly cloudy,10.0
2024-05-05,42.4,30.0,12,0.0,Sunny,10.0
2024-05-06,43.1,30.8,13,0.0,Sunny,10.0
2024-05-07,43.3,32.4,12,0.0,Sunny,10.0
2024-05-08,42.9,31.6,16,0.0,Sunny,10.0
2024-05-09,42.3,30.1,24,0.0,Sunny,10.0
2024-05-10,43.3,31.1,23,0.64,Sunny,10.0
2024-05-11,42.6,32.2,23,0.4,Sunny,10.0
2024-05-12,42.4,31.0,21,0.17,Sunny,10.0
2024-05-13,43.4,31.5,15,0.0,Sunny,10.0
2024-05-14,43.6,31.6,9,0.0,Sunny,10.0
2024-05-15,43.9,32.1,10,0.0,Sunny,10.0
2024-05-16,45.2,32.4,7,0.0,Sunny,11.0
2024-05-17,46.5,33.8,8,0.0,Sunny,11.0
2024-05-18,47.2,34.9,8,0.0,Partly cloudy,11.0
2024-05-19,47.5,35.4,9,0.0,Partly cloudy,11.0
2024-05-20,46.7,35.2,10,0.0,Partly cloudy,11.0
2024-05-21,47.0,35.2,10,0.0,Partly cloudy,11.0
2024-05-22,46.6,35.5,10,0.0,Sunny,11.0
2024-05-23,45.5,33.9,18,0.0,Sunny,11.0
2024-05-24,46.1,35.6,17,0.0,Sunny,11.0
2024-05-25,48.1,35.6,13,0.0,Sunny,11.0
2024-05-26,49.1,36.1,8,0.0,Sunny,11.0
2024-05-27,48.9,36.0,6,0.0,Sunny,11.0
2024-05-28,48.2,36.5,5,0.0,Sunny,11.0
2024-05-29,48.1,34.5,10,0.0,Partly cloudy,11.0
2024-05-30,46.8,35.6,13,0.0,Sunny,11.0
2024-05-31,46.4,34.9,11,0.0,Sunny,11.0
2024-06-01,46.6,35.5,14,0.0,Sunny,11.0
2024-06-02,45.2,35.3,18,0.0,Partly cloudy,11.0
2024-06-03,45.9,33.9,17,0.09,Patchy rain possible,10.0
2024-06-04,43.9,36.8,16,0.17,Partly cloudy,10.0
2024-06-05,45.1,35.9,16,0.18,Sunny,11.0
2024-06-06,44.9,33.4,22,1.24,Thundery outbreaks possible,9.0
2024-06-07,46.1,34.1,17,0.0,Sunny,11.0
2024-06-08,44.3,33.3,18,0.0,Sunny,10.0
2024-06-09,45.1,33.8,16,0.0,Sunny,11.0
2024-06-10,45.5,33.8,12,0.0,Partly cloudy,11.0
2024-06-11,45.9,35.2,12,0.0,Cloudy,10.0
2024-06-12,46.9,34.6,12,0.0,Sunny,11.0
2024-06-13,46.7,36.2,16,0.0,Partly cloudy,11.0
2024-06-14,44.5,36.0,20,0.0,Sunny,10.0
2024-06-15,45.4,36.2,20,0.0,Sunny,11.0
2024-06-16,46.7,35.9,18,0.0,Sunny,11.0
2024-06-17,47.9,37.4,19,0.0,Sunny,11.0
2024-06-18,46.3,37.4,22,0.0,Sunny,11.0
2024-06-19,45.0,34.7,25,0.95,Sunny,10.0
2024-06-20,43.3,30.0,31,7.77,Moderate rain at times,9.0
2024-06-21,42.7,34.5,26,0.42,Patchy rain possible,9.0
2024-06-22,43.9,34.7,25,2.71,Sunny,10.0
2024-06-23,46.0,37.0,16,0.0,Partly cloudy,11.0
2024-06-24,45.2,37.1,23,0.0,Partly cloudy,11.0
2024-06-25,45.9,36.6,24,0.3,Patchy rain possible,10.0
2024-06-26,43.1,34.8,33,3.81,Patchy rain possible,9.0
2024-06-27,42.0,34.0,43,1.89,Patchy light drizzle,9.0
2024-06-28,34.8,29.9,58,12.01,Light rain shower,7.0
2024-06-29,41.0,31.1,48,2.64,Light drizzle,9.0
2024-06-30,39.9,30.2,51,6.97,Patchy light rain,8.0
2024-07-01,38.9,29.4,55,6.26,Patchy rain possible,8.0
2024-07-02,39.1,31.5,51,1.76,Light rain shower,8.0
2024-07-03,34.5,28.1,66,33.21,Light rain shower,7.0
2024-07-04,35.5,28.7,61,1.82,Patchy rain possible,8.0
2024-07-05,35.6,28.9,63,12.51,Light rain shower,8.0
2024-07-06,31.9,27.7,72,4.89,Light rain shower,7.0
2024-07-07,28.9,26.4,79,1.15,Light rain shower,6.0
2024-07-08,33.4,25.8,68,1.71,Patchy light drizzle,7.0
2024-07-09,38.2,28.5,53,0.22,Patchy rain possible,8.0
2024-07-10,40.2,30.8,44,1.62,Patchy rain possible,9.0
2024-07-11,41.6,32.9,44,0.7,Thundery outbreaks possible,9.0
2024-07-12,39.9,29.6,47,13.88,Patchy rain possible,8.0
2024-07-13,39.3,30.5,41,3.89,Partly cloudy,9.0
2024-07-14,42.5,33.1,34,1.01,Patchy rain possible,9.0
2024-07-15,40.6,34.9,38,0.06,Patchy rain possible,9.0
2024-07-16,39.0,34.1,45,0.86,Patchy rain possible,8.0
2024-07-17,39.1,33.5,47,1.52,Light rain shower,8.0
2024-07-18,39.8,33.3,46,1.92,Patchy rain possible,8.0
2024-07-19,39.8,33.4,46,1.92,Patchy rain possible,8.0
2024-07-20,39.1,33.4,45,0.39,Patchy rain possible,8.0
2024-07-21,41.5,34.3,41,0.48,Patchy light drizzle,9.0
