date,max_temp,min_temp,humidity,precipitation,condition,uv_index
2024-02-05,29.2,14.3,60,0.0,Partly cloudy,7.0
2024-02-06,28.5,16.6,56,0.0,Sunny,7.0
2024-02-07,26.3,13.8,39,0.0,Partly cloudy,7.0
2024-02-08,23.9,13.5,31,0.0,Sunny,6.0
2024-02-09,25.6,10.8,20,0.0,Sunny,7.0
2024-02-10,27.1,12.0,20,0.0,Partly cloudy,7.0
2024-02-11,27.7,12.5,25,0.0,Sunny,7.0
2024-02-12,27.3,13.3,35,0.0,Cloudy,6.0
2024-02-13,29.9,16.4,45,0.0,Sunny,7.0
2024-02-14,28.9,16.6,48,0.17,Patchy rain possible,6.0
2024-02-15,28.0,14.0,40,0.0,Sunny,7.0
2024-02-16,30.4,15.1,27,0.0,Sunny,8.0
2024-02-17,30.6,15.8,22,0.0,Sunny,8.0
2024-02-18,32.3,17.1,22,0.0,Sunny,8.0
2024-02-19,33.0,19.7,23,0.0,Sunny,8.0
2024-02-20,31.9,18.5,26,0.0,Sunny,8.0
2024-02-21,30.6,18.2,31,0.0,Sunny,8.0
2024-02-22,28.1,16.1,28,0.0,Sunny,7.0
2024-02-23,27.8,14.7,29,0.0,Partly cloudy,7.0
2024-02-24,29.2,14.2,19,0.0,Sunny,7.0
2024-02-25,26.6,13.4,25,0.0,Sunny,7.0
2024-02-26,28.8,15.6,27,0.0,Sunny,7.0
2024-02-27,31.1,17.1,32,0.07,Patchy rain possible,7.0
2024-02-28,31.6,17.7,38,0.0,Sunny,8.0
2024-02-29,31.0,17.1,26,0.0,Sunny,8.0
2024-03-01,33.3,19.1,23,0.0,Sunny,8.0
2024-03-02,34.0,22.8,29,0.04,Thundery outbreaks possible,7.0
2024-03-03,30.6,19.8,44,0.26,Partly cloudy,8.0
2024-03-04,28.7,16.0,18,0.0,Sunny,7.0
2024-03-05,28.5,13.8,15,0.0,Sunny,7.0
2024-03-06,29.6,14.5,22,0.0,Sunny,7.0
2024-03-07,30.4,16.7,21,0.0,Sunny,8.0
2024-03-08,29.6,16.7,19,0.0,Sunny,7.0
2024-03-09,30.7,16.8,20,0.0,Sunny,8.0
2024-03-10,33.0,17.4,20,0.0,Sunny,8.0
2024-03-11,34.4,19.2,22,0.0,Sunny,8.0
2024-03-12,34.4,21.4,20,0.0,Sunny,8.0
2024-03-13,33.4,20.6,20,0.0,Sunny,8.0
2024-03-14,33.2,20.5,19,0.0,Sunny,8.0
2024-03-15,33.6,20.1,16,0.0,Sunny,8.0
2024-03-16,33.5,19.4,18,0.0,Partly cloudy,8.0
2024-03-17,32.2,19.1,20,0.0,Sunny,8.0
2024-03-18,33.7,20.7,17,0.0,Sunny,8.0
2024-03-19,34.1,20.6,22,0.1,Patchy rain possible,7.0
2024-03-20,33.1,20.3,11,0.0,Sunny,8.0
2024-03-21,33.3,18.8,12,0.0,Overcast,7.0
2024-03-22,35.1,19.9,18,0.0,Sunny,9.0
2024-03-23,37.0,22.7,14,0.0,Sunny,9.0
2024-03-24,37.6,24.5,14,0.0,Overcast,8.0
